[supervisor] 2026-08-17T22:26:45+05:30 waiting for data preparation to finish...
[supervisor] 2026-08-17T22:26:45+05:30 data ready: 5000186213 tokens
[supervisor] 2026-08-17T22:26:45+05:30 attempt 1: resuming from step 14000
[supervisor] launching on CUDA_VISIBLE_DEVICES=0 with nproc_per_node=1
Model vocab_size 50304 > tokenizer vocab_size 50259 (45 unused padding rows, kept for tensor-core alignment)
Data: 4,900,186,213 train tokens / 100,000,000 val tokens (9,570,651 windows at stride 512)
Model: medium (123,587,328 parameters)
Resumed from checkpoints/medium/step_14000.pt at step 14000
step  14370 | train_loss 3.2507 | lr 1.63e-04
step  14371 | train_loss 3.2644 | lr 1.63e-04
step  14372 | train_loss 3.2068 | lr 1.63e-04
step  14373 | train_loss 3.2419 | lr 1.63e-04
step  14374 | train_loss 3.1845 | lr 1.63e-04
step  14375 | train_loss 3.2631 | lr 1.63e-04
step  14376 | train_loss 3.2595 | lr 1.63e-04
step  14377 | train_loss 3.2620 | lr 1.62e-04
step  14378 | train_loss 3.2885 | lr 1.62e-04
step  14379 | train_loss 3.1969 | lr 1.62e-04
step  14380 | train_loss 3.2467 | lr 1.62e-04
step  14381 | train_loss 3.2893 | lr 1.62e-04
step  14382 | train_loss 3.2505 | lr 1.62e-04
step  14383 | train_loss 3.2072 | lr 1.62e-04
step  14384 | train_loss 3.2871 | lr 1.62e-04
step  14385 | train_loss 3.2293 | lr 1.62e-04
step  14386 | train_loss 3.2252 | lr 1.62e-04
step  14387 | train_loss 3.2321 | lr 1.62e-04
step  14388 | train_loss 3.2291 | lr 1.62e-04
step  14389 | train_loss 3.2673 | lr 1.62e-04
step  14390 | train_loss 3.1935 | lr 1.62e-04
step  14391 | train_loss 3.2393 | lr 1.62e-04
step  14392 | train_loss 3.2465 | lr 1.62e-04
step  14393 | train_loss 3.2683 | lr 1.62e-04
step  14394 | train_loss 3.2598 | lr 1.62e-04
step  14395 | train_loss 3.2425 | lr 1.62e-04
step  14396 | train_loss 3.2142 | lr 1.62e-04
step  14397 | train_loss 3.2845 | lr 1.62e-04
step  14398 | train_loss 3.1981 | lr 1.62e-04
step  14399 | train_loss 3.2326 | lr 1.62e-04
step  14400 | train_loss 3.2029 | lr 1.62e-04
step  14401 | train_loss 3.2066 | lr 1.62e-04
